name,category,fest_tag
Total Nutrition,Protein & Nutrition,Spree
Big Muscle Nutrition,Protein & Nutrition,Spree
Dyet Nutrition,Protein & Nutrition,Spree
Gritfit,Protein & Nutrition,Spree
NRICH / Nutrich,Protein & Nutrition,Spree
Parle,Cookies & Biscuits,All
Sunfeast,Cookies & Biscuits,All
UNIBIC,Cookies & Biscuits,All
Sunfeast Farmlite,Cookies & Biscuits,All
Loacker,Cookies & Biscuits,All
Sobisco,Cookies & Biscuits,All
Sunder Biscuits,Cookies & Biscuits,All
Dukes,Cookies & Biscuits,All
Kikibix,Cookies & Biscuits,All
Lotte Choco Pie,Cookies & Biscuits,All
Hershey's,Chocolates & Confectionery,All
Nestle KitKat,Chocolates & Confectionery,All
Paul And Mike,Chocolates & Confectionery,All
Callebaut India,Chocolates & Confectionery,All
Mason & Co,Chocolates & Confectionery,All
Manam Chocolates,Chocolates & Confectionery,All
Cocosutra,Chocolates & Confectionery,All
COCO Cart,Chocolates & Confectionery,All
Anand Sweets,Chocolates & Confectionery,All
Vishnu Delight,Chocolates & Confectionery,All
Epigamia,Dairy & Cheese,All
Havmor,Dairy & Cheese,All
Nestle,Dairy & Cheese,All
Dlecta,Dairy & Cheese,All
Go Cheese,Dairy & Cheese,All
Simply Cheese,Dairy & Cheese,All
Yakult,Dairy & Cheese,All
Dilicia Milk,Dairy & Cheese,All
White Cub,Dairy & Cheese,All
Maggi,Noodles & Instant Food,All
Nissin,Noodles & Instant Food,All
Wai Wai (CG Foods),Noodles & Instant Food,All
Ottogi India,Noodles & Instant Food,All
Yu Foods,Noodles & Instant Food,All
KBomb Ramen,Noodles & Instant Food,All
Idliyo,Noodles & Instant Food,All
Sandwizzaa,Noodles & Instant Food,All
Good Seoul,Noodles & Instant Food,All
Frojo,Ice Cream & Frozen Desserts,All
Hajmola,Mouth Fresheners & Candy,All
Pass Pass,Mouth Fresheners & Candy,All
The Meethi Elaichi Co.,Mouth Fresheners & Candy,All
Purple Fire,Sauces & Condiments,All
Sausome,Sauces & Condiments,All
Heeral Waah Spices,Sauces & Condiments,All
Cinnamon Kitchen,Sauces & Condiments,All
Tali,Other / Misc,All
Topcan,Other / Misc,All
Nuke,Other / Misc,All
DOMNOM Snacks,Other / Misc,All
Nesco Foods,Other / Misc,All
Paitruk,Other / Misc,All
BRB,Other / Misc,All
Grabz,Other / Misc,All
Fabeato,Other / Misc,All
Crax (DFM Foods),Other / Misc,All
To Be Honest (TBH),Other / Misc,All
No Cap,Other / Misc,All
ZapZ Snacks,Other / Misc,All
5:15 Chips,Other / Misc,All
Ruby Foods,Other / Misc,All
Super Munchies,Other / Misc,All
Goana Foods,Other / Misc,All
Gokul Snacks,Other / Misc,All
The Big Snack Co,Other / Misc,All
Nnashto,Other / Misc,All
Snack Desi,Other / Misc,All
SKitos,Other / Misc,All
Crave Eatables,Other / Misc,All
Desi Chef,Other / Misc,All
Euro India Fresh Foods,Other / Misc,All
Frylo Foods,Other / Misc,All
Cracoz,Other / Misc,All
Chomp Chomps,Other / Misc,All
Tirupati Agrotech,Other / Misc,All
Bharat Foods,Other / Misc,All
Lavan Camilan,Other / Misc,All
Brands of Bharat,Other / Misc,All
Satyam Foods,Other / Misc,All
Shareat Foods,Other / Misc,All
Hello Indo Foods,Other / Misc,All
Omsons Industries,Other / Misc,All
Sunnys Food,Other / Misc,All
Mania Nepal,Other / Misc,All
Asterin World,Other / Misc,All
Hully Gully,Other / Misc,All
Atom Eats,Other / Misc,All
Snaaqz,Other / Misc,All
Cravova,Other / Misc,All
Snackzone,Other / Misc,All
Adukale Snacks,Other / Misc,All
Khari Foods,Other / Misc,All
Dil Foods,Other / Misc,All
Mania,Other / Misc,All
Bistro by Blinkit,Other / Misc,All
Delight Foods,Other / Misc,All
Sikander Foods,Other / Misc,All
Sun Village,Other / Misc,All
Sobisco India,Other / Misc,All
Priniti Foods,Other / Misc,All
ATOP Food Products,Other / Misc,All
Bolas Agro,Other / Misc,All
Sagar,Other / Misc,All
MG Bites,Other / Misc,All
Non Stop,Other / Misc,All
Peppy Tomato Discs,Other / Misc,All
DIBS Stacks,Other / Misc,All
Fundaaz,Other / Misc,All
Kiwi Foods,Other / Misc,All
Health Fiesta,Other / Misc,All
